base_id,variant_id,variant_index,domain,requirement_text,smells,applied_rules
B-005,B-005-S02,2,Disputes Management System,"The system shall be record the date and time when the status of a dispute record changes including user identifier, timestamp, action, etc.","[""partial_content_or_incomplete_enumeration"", ""passive_voice""]","[""partial_content_or_incomplete_enumeration:add_etc_list"", ""passive_voice:system_shall_be_pattern""]"
B-005,B-005-S03,3,Disputes Management System,The system shall record the date and time when the status of a dispute record changes. for a large number of users.,"[""punctuation_issue"", ""quantifier_without_unit_or_range""]","[""punctuation_issue:remove_commas_and_double_period"", ""quantifier_without_unit_or_range:add_large_number""]"
B-005,B-005-S04,4,Disputes Management System,The system shall record the date and time when the status of a dispute record changes through a user-friendly and intuitive interface using the best and more secure method and then the system shall log the operation in the audit trail and then the system shall update the internal statistics.,"[""subjective_language"", ""superlative_or_comparative_without_reference"", ""too_long_sentence""]","[""subjective_language:add_user_friendly_interface"", ""superlative_or_comparative_without_reference:add_best_method"", ""too_long_sentence:add_and_then_chain""]"
B-005,B-005-S05,5,Disputes Management System,Lock account and update the internal Compliance Index.,"[""too_many_dependencies_or_versions"", ""too_short_sentence"", ""undefined_term""]","[""too_many_dependencies_or_versions:add_many_req_refs"", ""too_short_sentence:replace_with_fragment"", ""undefined_term:add_compliance_index""]"
B-005,B-005-S06,6,Disputes Management System,"The system shall record the date and time when the status of a dispute record changes which, when combined with other operations that may occur during processing, shall be handled in accordance with the internal procedures under normal conditions and as appropriate and this shall be handled later.","[""unreadable_structure"", ""vague_or_implicit_terms"", ""vague_pronoun_or_reference""]","[""unreadable_structure:add_nested_clause"", ""vague_or_implicit_terms:add_normal_conditions"", ""vague_pronoun_or_reference:add_this_reference""]"
B-005,B-005-S07,7,Disputes Management System,The system may record the date and time when the status of a dispute record changes according to internal policies KYC AML and PCI DSS and display the message on screens if possible as specified in section 2.1.3.4.2.1 of the design document.,"[""acronym_overuse_or_abbrev"", ""ambiguous_plurality"", ""conditional_or_non_assertive_requirement"", ""deep_nesting_or_structure_issue""]","[""acronym_overuse_or_abbrev:add_unexplained_acronyms"", ""ambiguous_plurality:add_screens_scope"", ""conditional_or_non_assertive_requirement:replace_shall_with_may_if_possible"", ""deep_nesting_or_structure_issue:add_deep_section_reference""]"
B-005,B-005-S08,8,Disputes Management System,The system shall record the date and time when the status of a dispute record changes using a PostgreSQL database and a React-based web interface in accordance with KYC AML PCI DSS and SOX requirements in order to support auditing and regulatory compliance and behaves in the same way as described above.,"[""design_or_implementation_detail"", ""domain_term_imbalance"", ""embedded_rationale_or_justification"", ""excessive_or_insufficient_coupling""]","[""design_or_implementation_detail:add_tech_stack"", ""domain_term_imbalance:add_many_domain_acronyms"", ""embedded_rationale_or_justification:add_in_order_to"", ""excessive_or_insufficient_coupling:add_as_described_above""]"
B-006,B-006-S01,1,Disputes Management System,The system shall allow an authorized user to attach one or more documents to a dispute record so that all relevant stakeholders are notified appropriately.,"[""implicit_requirement""]","[""implicit_requirement:add_so_that_notification""]"
B-006,B-006-S02,2,Disputes Management System,The system.,"[""incomplete_reference_or_condition"", ""incomplete_requirement""]","[""incomplete_reference_or_condition:add_vague_condition"", ""incomplete_requirement:remove_main_action""]"
B-006,B-006-S03,3,Disputes Management System,"After processing is complete, The system will allow an authorized user to attach one or more documents to a dispute record.","[""incorrect_or_confusing_order"", ""language_error_or_grammar_issue""]","[""incorrect_or_confusing_order:prepend_after_clause"", ""language_error_or_grammar_issue:introduce_grammar_error""]"
B-006,B-006-S04,4,Disputes Management System,If the described condition occurs.,"[""loophole_or_open_ended"", ""missing_imperative_verb"", ""missing_system_response""]","[""loophole_or_open_ended:add_at_least"", ""missing_imperative_verb:remove_shall"", ""missing_system_response:replace_with_if_only""]"
B-006,B-006-S05,5,Disputes Management System,The system shall allow an authorized user to attach one or more documents to a dispute record within 5 and shall not allow unauthorized access and send a notification email to the administrator.,"[""missing_unit_of_measurement"", ""negative_formulation"", ""non_atomic_requirement""]","[""missing_unit_of_measurement:add_bare_number"", ""negative_formulation:add_shall_not_allow"", ""non_atomic_requirement:add_notification_action""]"
B-006,B-006-S06,6,Disputes Management System,"Validate input, log the error, send a notification, restart the service including user identifier, timestamp, action, etc..","[""non_verifiable_qualifier"", ""overuse_imperative_form"", ""partial_content_or_incomplete_enumeration""]","[""non_verifiable_qualifier:add_minimal_delay"", ""overuse_imperative_form:replace_with_command_list"", ""partial_content_or_incomplete_enumeration:add_etc_list""]"
B-006,B-006-S07,7,Disputes Management System,The system shall be allow an authorized user to attach one or more documents to a dispute record. for a large number of users through a user-friendly and intuitive interface.,"[""passive_voice"", ""punctuation_issue"", ""quantifier_without_unit_or_range"", ""subjective_language""]","[""passive_voice:system_shall_be_pattern"", ""punctuation_issue:remove_commas_and_double_period"", ""quantifier_without_unit_or_range:add_large_number"", ""subjective_language:add_user_friendly_interface""]"
B-006,B-006-S08,8,Disputes Management System,Lock account.,"[""superlative_or_comparative_without_reference"", ""too_long_sentence"", ""too_many_dependencies_or_versions"", ""too_short_sentence""]","[""superlative_or_comparative_without_reference:add_best_method"", ""too_long_sentence:add_and_then_chain"", ""too_many_dependencies_or_versions:add_many_req_refs"", ""too_short_sentence:replace_with_fragment""]"
B-007,B-007-S01,1,Disputes Management System,The system shall display the full history of status changes for a dispute record in chronological order and update the internal Compliance Index.,"[""undefined_term""]","[""undefined_term:add_compliance_index""]"
B-007,B-007-S02,2,Disputes Management System,"The system shall display the full history of status changes for a dispute record in chronological order which, when combined with other operations that may occur during processing, shall be handled in accordance with the internal procedures under normal conditions and as appropriate.","[""unreadable_structure"", ""vague_or_implicit_terms""]","[""unreadable_structure:add_nested_clause"", ""vague_or_implicit_terms:add_normal_conditions""]"
B-007,B-007-S03,3,Disputes Management System,The system shall display the full history of status changes for a dispute record in chronological order and this shall be handled later according to internal policies KYC AML and PCI DSS.,"[""vague_pronoun_or_reference"", ""acronym_overuse_or_abbrev""]","[""vague_pronoun_or_reference:add_this_reference"", ""acronym_overuse_or_abbrev:add_unexplained_acronyms""]"
B-007,B-007-S04,4,Disputes Management System,The system may display the full history of status changes for a dispute record in chronological order and display the message on screens if possible as specified in section 2.1.3.4.2.1 of the design document.,"[""ambiguous_plurality"", ""conditional_or_non_assertive_requirement"", ""deep_nesting_or_structure_issue""]","[""ambiguous_plurality:add_screens_scope"", ""conditional_or_non_assertive_requirement:replace_shall_with_may_if_possible"", ""deep_nesting_or_structure_issue:add_deep_section_reference""]"
B-007,B-007-S05,5,Disputes Management System,The system shall display the full history of status changes for a dispute record in chronological order using a PostgreSQL database and a React-based web interface in accordance with KYC AML PCI DSS and SOX requirements in order to support auditing and regulatory compliance.,"[""design_or_implementation_detail"", ""domain_term_imbalance"", ""embedded_rationale_or_justification""]","[""design_or_implementation_detail:add_tech_stack"", ""domain_term_imbalance:add_many_domain_acronyms"", ""embedded_rationale_or_justification:add_in_order_to""]"
B-007,B-007-S06,6,Disputes Management System,The system shall display the full history of status changes for a dispute record in chronological order and behaves in the same way as described above so that all relevant stakeholders are notified appropriately during normal operation when appropriate conditions are met.,"[""excessive_or_insufficient_coupling"", ""implicit_requirement"", ""incomplete_reference_or_condition""]","[""excessive_or_insufficient_coupling:add_as_described_above"", ""implicit_requirement:add_so_that_notification"", ""incomplete_reference_or_condition:add_vague_condition""]"
B-007,B-007-S07,7,Disputes Management System,"After processing is complete, The system for at least a short period of time.","[""incomplete_requirement"", ""incorrect_or_confusing_order"", ""language_error_or_grammar_issue"", ""loophole_or_open_ended""]","[""incomplete_requirement:remove_main_action"", ""incorrect_or_confusing_order:prepend_after_clause"", ""language_error_or_grammar_issue:introduce_grammar_error"", ""loophole_or_open_ended:add_at_least""]"
B-007,B-007-S08,8,Disputes Management System,If the described condition occurs within 5 and shall not allow unauthorized access.,"[""missing_imperative_verb"", ""missing_system_response"", ""missing_unit_of_measurement"", ""negative_formulation""]","[""missing_imperative_verb:remove_shall"", ""missing_system_response:replace_with_if_only"", ""missing_unit_of_measurement:add_bare_number"", ""negative_formulation:add_shall_not_allow""]"
B-008,B-008-S01,1,Disputes Management System,"The system shall allow a user to search for dispute records by status, creation date range, and customer identifier and send a notification email to the administrator.","[""non_atomic_requirement""]","[""non_atomic_requirement:add_notification_action""]"
B-008,B-008-S02,2,Disputes Management System,"Validate input, log the error, send a notification, restart the service.","[""non_verifiable_qualifier"", ""overuse_imperative_form""]","[""non_verifiable_qualifier:add_minimal_delay"", ""overuse_imperative_form:replace_with_command_list""]"
B-008,B-008-S03,3,Disputes Management System,"The system shall be allow a user to search for dispute records by status, creation date range, and customer identifier including user identifier, timestamp, action, etc.","[""partial_content_or_incomplete_enumeration"", ""passive_voice""]","[""partial_content_or_incomplete_enumeration:add_etc_list"", ""passive_voice:system_shall_be_pattern""]"
B-008,B-008-S04,4,Disputes Management System,The system shall allow a user to search for dispute records by status creation date range and customer identifier. for a large number of users through a user-friendly and intuitive interface.,"[""punctuation_issue"", ""quantifier_without_unit_or_range"", ""subjective_language""]","[""punctuation_issue:remove_commas_and_double_period"", ""quantifier_without_unit_or_range:add_large_number"", ""subjective_language:add_user_friendly_interface""]"
B-008,B-008-S05,5,Disputes Management System,"The system shall allow a user to search for dispute records by status, creation date range, and customer identifier using the best and more secure method and then the system shall log the operation in the audit trail and then the system shall update the internal statistics as defined in REQ-101, REQ-204, REQ-305, and REQ-409.","[""superlative_or_comparative_without_reference"", ""too_long_sentence"", ""too_many_dependencies_or_versions""]","[""superlative_or_comparative_without_reference:add_best_method"", ""too_long_sentence:add_and_then_chain"", ""too_many_dependencies_or_versions:add_many_req_refs""]"
B-008,B-008-S06,6,Disputes Management System,"Lock account and update the internal Compliance Index which, when combined with other operations that may occur during processing, shall be handled in accordance with the internal procedures.","[""too_short_sentence"", ""undefined_term"", ""unreadable_structure""]","[""too_short_sentence:replace_with_fragment"", ""undefined_term:add_compliance_index"", ""unreadable_structure:add_nested_clause""]"
B-008,B-008-S07,7,Disputes Management System,"The system shall allow a user to search for dispute records by status, creation date range, and customer identifier under normal conditions and as appropriate and this shall be handled later according to internal policies KYC AML and PCI DSS and display the message on screens.","[""vague_or_implicit_terms"", ""vague_pronoun_or_reference"", ""acronym_overuse_or_abbrev"", ""ambiguous_plurality""]","[""vague_or_implicit_terms:add_normal_conditions"", ""vague_pronoun_or_reference:add_this_reference"", ""acronym_overuse_or_abbrev:add_unexplained_acronyms"", ""ambiguous_plurality:add_screens_scope""]"
B-008,B-008-S08,8,Disputes Management System,"The system may allow a user to search for dispute records by status, creation date range, and customer identifier if possible as specified in section 2.1.3.4.2.1 of the design document using a PostgreSQL database and a React-based web interface in accordance with KYC AML PCI DSS and SOX requirements.","[""conditional_or_non_assertive_requirement"", ""deep_nesting_or_structure_issue"", ""design_or_implementation_detail"", ""domain_term_imbalance""]","[""conditional_or_non_assertive_requirement:replace_shall_with_may_if_possible"", ""deep_nesting_or_structure_issue:add_deep_section_reference"", ""design_or_implementation_detail:add_tech_stack"", ""domain_term_imbalance:add_many_domain_acronyms""]"
B-009,B-009-S01,1,Disputes Management System,The system shall restrict access to dispute records so that a user can view only records assigned to that user or that user's team in order to support auditing and regulatory compliance.,"[""embedded_rationale_or_justification""]","[""embedded_rationale_or_justification:add_in_order_to""]"
B-009,B-009-S02,2,Disputes Management System,The system shall restrict access to dispute records so that a user can view only records assigned to that user or that user's team and behaves in the same way as described above so that all relevant stakeholders are notified appropriately.,"[""excessive_or_insufficient_coupling"", ""implicit_requirement""]","[""excessive_or_insufficient_coupling:add_as_described_above"", ""implicit_requirement:add_so_that_notification""]"
B-009,B-009-S03,3,Disputes Management System,The system.,"[""incomplete_reference_or_condition"", ""incomplete_requirement""]","[""incomplete_reference_or_condition:add_vague_condition"", ""incomplete_requirement:remove_main_action""]"
B-009,B-009-S04,4,Disputes Management System,"After processing is complete, The system will restrict access to dispute records so that a user can view only records assigned to that user or that user's team for at least a short period of time.","[""incorrect_or_confusing_order"", ""language_error_or_grammar_issue"", ""loophole_or_open_ended""]","[""incorrect_or_confusing_order:prepend_after_clause"", ""language_error_or_grammar_issue:introduce_grammar_error"", ""loophole_or_open_ended:add_at_least""]"
B-009,B-009-S05,5,Disputes Management System,If the described condition occurs within 5.,"[""missing_imperative_verb"", ""missing_system_response"", ""missing_unit_of_measurement""]","[""missing_imperative_verb:remove_shall"", ""missing_system_response:replace_with_if_only"", ""missing_unit_of_measurement:add_bare_number""]"
B-009,B-009-S06,6,Disputes Management System,The system shall restrict access to dispute records so that a user can view only records assigned to that user or that user's team and shall not allow unauthorized access and send a notification email to the administrator with minimal delay whenever possible.,"[""negative_formulation"", ""non_atomic_requirement"", ""non_verifiable_qualifier""]","[""negative_formulation:add_shall_not_allow"", ""non_atomic_requirement:add_notification_action"", ""non_verifiable_qualifier:add_minimal_delay""]"
B-009,B-009-S07,7,Disputes Management System,Validate input log the error send a notification restart the service including user identifier timestamp action etc. It shall be ensured that this requirement is fulfilled..,"[""overuse_imperative_form"", ""partial_content_or_incomplete_enumeration"", ""passive_voice"", ""punctuation_issue""]","[""overuse_imperative_form:replace_with_command_list"", ""partial_content_or_incomplete_enumeration:add_etc_list"", ""passive_voice:add_it_shall_be_ensured"", ""punctuation_issue:remove_commas_and_double_period""]"
B-009,B-009-S08,8,Disputes Management System,The system shall restrict access to dispute records so that a user can view only records assigned to that user or that user's team for a large number of users through a user-friendly and intuitive interface using the best and more secure method and then the system shall log the operation in the audit trail and then the system shall update the internal statistics.,"[""quantifier_without_unit_or_range"", ""subjective_language"", ""superlative_or_comparative_without_reference"", ""too_long_sentence""]","[""quantifier_without_unit_or_range:add_large_number"", ""subjective_language:add_user_friendly_interface"", ""superlative_or_comparative_without_reference:add_best_method"", ""too_long_sentence:add_and_then_chain""]"
B-010,B-010-S01,1,Disputes Management System,"The system shall generate a daily summary listing the number of dispute records created, resolved, and closed on that day as defined in REQ-101, REQ-204, REQ-305, and REQ-409.","[""too_many_dependencies_or_versions""]","[""too_many_dependencies_or_versions:add_many_req_refs""]"
B-010,B-010-S02,2,Disputes Management System,Lock account and update the internal Compliance Index.,"[""too_short_sentence"", ""undefined_term""]","[""too_short_sentence:replace_with_fragment"", ""undefined_term:add_compliance_index""]"
B-010,B-010-S03,3,Disputes Management System,"The system shall generate a daily summary listing the number of dispute records created, resolved, and closed on that day which, when combined with other operations that may occur during processing, shall be handled in accordance with the internal procedures under normal conditions and as appropriate.","[""unreadable_structure"", ""vague_or_implicit_terms""]","[""unreadable_structure:add_nested_clause"", ""vague_or_implicit_terms:add_normal_conditions""]"
B-010,B-010-S04,4,Disputes Management System,"The system shall generate a daily summary listing the number of dispute records created, resolved, and closed on that day and this shall be handled later according to internal policies KYC AML and PCI DSS and display the message on screens.","[""vague_pronoun_or_reference"", ""acronym_overuse_or_abbrev"", ""ambiguous_plurality""]","[""vague_pronoun_or_reference:add_this_reference"", ""acronym_overuse_or_abbrev:add_unexplained_acronyms"", ""ambiguous_plurality:add_screens_scope""]"
B-010,B-010-S05,5,Disputes Management System,"The system may generate a daily summary listing the number of dispute records created, resolved, and closed on that day if possible as specified in section 2.1.3.4.2.1 of the design document using a PostgreSQL database and a React-based web interface.","[""conditional_or_non_assertive_requirement"", ""deep_nesting_or_structure_issue"", ""design_or_implementation_detail""]","[""conditional_or_non_assertive_requirement:replace_shall_with_may_if_possible"", ""deep_nesting_or_structure_issue:add_deep_section_reference"", ""design_or_implementation_detail:add_tech_stack""]"
B-010,B-010-S06,6,Disputes Management System,"The system shall generate a daily summary listing the number of dispute records created, resolved, and closed on that day in accordance with KYC AML PCI DSS and SOX requirements in order to support auditing and regulatory compliance and behaves in the same way as described above.","[""domain_term_imbalance"", ""embedded_rationale_or_justification"", ""excessive_or_insufficient_coupling""]","[""domain_term_imbalance:add_many_domain_acronyms"", ""embedded_rationale_or_justification:add_in_order_to"", ""excessive_or_insufficient_coupling:add_as_described_above""]"
B-010,B-010-S07,7,Disputes Management System,"After processing is complete, The system.","[""implicit_requirement"", ""incomplete_reference_or_condition"", ""incomplete_requirement"", ""incorrect_or_confusing_order""]","[""implicit_requirement:add_so_that_notification"", ""incomplete_reference_or_condition:add_vague_condition"", ""incomplete_requirement:remove_main_action"", ""incorrect_or_confusing_order:prepend_after_clause""]"
